mass_A
t	x	y
1.079222222E0	1.064055123E0	-3.516248150E0
1.083533333E0	1.012284025E0	-3.416148754E0
1.087844444E0	6.927205534E-1	-3.003520751E0
1.092155556E0	6.880978914E-1	-2.900178023E0
1.096466667E0	6.661607619E-1	-2.803868137E0
1.100777778E0	6.607750631E-1	-2.697206889E0
1.105088889E0	6.558976659E-1	-2.568708608E0
1.109400000E0	9.708748374E-1	-2.748705682E0
1.113711111E0	9.443968609E-1	-2.652914849E0
1.118022222E0	9.915118834E-1	-2.527504644E0
1.122333333E0	1.010261136E0	-2.425959152E0
1.126644444E0	1.010932583E0	-2.341299680E0
1.130955556E0	9.900371647E-1	-2.238799935E0
1.135266667E0	9.947157308E-1	-2.150681636E0
1.139577778E0	9.536802786E-1	-2.063827963E0
1.144000000E0	9.885303205E-1	-1.964902628E0
1.148311111E0	9.326362276E-1	-1.883680510E0
1.152622222E0	9.865322773E-1	-1.787518011E0
1.156933333E0	1.003063305E0	-1.679652118E0
1.161244444E0	9.881776017E-1	-1.587793185E0
1.165555556E0	9.823232490E-1	-1.490530308E0
1.169866667E0	9.445793432E-1	-1.394565211E0
1.174177778E0	6.445078505E-1	-1.017486492E0
1.178488889E0	6.492840512E-1	-9.114357021E-1
1.182800000E0	6.474885110E-1	-8.163152120E-1
1.187111111E0	1.015206063E0	-9.429398333E-1
1.191422222E0	1.127851176E0	-7.683031379E-1
1.195733333E0	1.121613779E0	-6.368021576E-1
1.200044444E0	8.825148501E-1	-6.281340160E-1
1.204355556E0	8.617551534E-1	-5.450835340E-1
1.208666667E0	8.620763543E-1	-4.632985727E-1
1.212977778E0	8.950714034E-1	-4.037350752E-1
1.217288889E0	5.971669043E-1	1.400690589E-1
1.221600000E0	5.990143245E-1	2.737350560E-1
1.225911111E0	6.076981849E-1	3.845411565E-1
1.230222222E0	6.080472454E-1	5.146238712E-1
1.234533333E0	7.528066644E-1	5.349758711E-1
1.238955556E0	7.725011977E-1	6.010827874E-1
1.243266667E0	6.130653289E-1	9.582415468E-1
1.247577778E0	6.014652365E-1	1.104307857E0
1.251888889E0	6.123535567E-1	1.226268652E0
1.256200000E0	6.023078255E-1	1.340116677E0
1.260511111E0	5.751571670E-1	1.438893163E0
1.264822222E0	5.602472047E-1	1.530975119E0
1.269133333E0	5.410564531E-1	1.620007771E0
1.273444444E0	5.558331639E-1	1.696756364E0
1.277755556E0	5.653895922E-1	1.779332890E0
1.282066667E0	5.612101435E-1	1.842184824E0
1.286377778E0	5.615344270E-1	1.892565579E0
1.290688889E0	5.537755666E-1	1.944295036E0
1.295000000E0	5.658631829E-1	2.002467990E0
1.299311111E0	7.468626424E-1	1.884242477E0
1.303622222E0	5.705554856E-1	2.094915924E0
1.307933333E0	5.729549713E-1	2.137095175E0
1.312244444E0	5.701317097E-1	2.182979609E0
1.316555556E0	7.339303322E-1	2.070940415E0
1.320866667E0	7.320725109E-1	2.117825423E0
1.325288889E0	7.263812063E-1	2.164508656E0
1.329600000E0	5.736387074E-1	2.362874335E0
1.333911111E0	7.346635745E-1	2.259184763E0
1.338222222E0	7.291443114E-1	2.302228368E0
1.342533333E0	7.361641394E-1	2.344577264E0
1.346844444E0	5.679890939E-1	2.541900569E0
1.351155556E0	7.259706838E-1	2.419960096E0
1.355466667E0	7.181353463E-1	2.446567411E0
1.359777778E0	7.224777348E-1	2.484293700E0
1.364088889E0	7.142211309E-1	2.517664435E0
1.368400000E0	5.410762842E-1	2.696000141E0
1.372711111E0	5.393629283E-1	2.730474482E0
