mass_A
t	x	y
8.850444444E-1	8.976368009E-1	-2.589178632E0
8.893555556E-1	8.897718681E-1	-2.533704833E0
8.936666667E-1	8.890810051E-1	-2.479186049E0
8.979777778E-1	8.792472364E-1	-2.417695950E0
9.022888889E-1	8.890041198E-1	-2.339678871E0
9.066000000E-1	8.682320524E-1	-2.273254944E0
9.109111111E-1	8.769304912E-1	-2.185948190E0
9.152222222E-1	8.786352759E-1	-2.098925221E0
9.195333333E-1	8.751446387E-1	-2.020675278E0
9.239555556E-1	8.737227195E-1	-1.927928968E0
9.282777778E-1	8.704755294E-1	-1.835086740E0
9.326000000E-1	8.642756082E-1	-1.741548651E0
9.369222222E-1	8.497365845E-1	-1.656384921E0
9.412444444E-1	8.550878216E-1	-1.563480885E0
9.455666667E-1	8.617410344E-1	-1.464633986E0
9.498888889E-1	8.540954474E-1	-1.366056370E0
9.542111111E-1	8.501447558E-1	-1.267543766E0
9.585333333E-1	8.503787804E-1	-1.169581248E0
9.628555556E-1	8.584312667E-1	-1.075589124E0
9.671777778E-1	8.544209100E-1	-9.824143353E-1
9.715000000E-1	8.407049144E-1	-8.991286973E-1
9.758222222E-1	8.508064469E-1	-8.045796207E-1
9.801444444E-1	8.283286360E-1	-7.560462025E-1
9.844666667E-1	9.026084635E-1	-7.368596478E-1
9.887888889E-1	9.174944873E-1	-5.358436815E-1
9.931111111E-1	6.604230249E-1	-4.501531940E-1
9.974333333E-1	8.603674957E-1	-3.358992107E-1
1.001755556E0	1.128861350E0	-8.099858277E-1
1.006077778E0	1.149525782E0	-7.562241688E-1
1.010400000E0	1.164269885E0	-6.469569253E-1
1.014722222E0	8.032405040E-1	-2.502087232E-1
1.018944444E0	6.318595290E-1	9.255322676E-2
1.023166667E0	6.972069428E-1	3.277940349E-1
1.027577778E0	7.243899456E-1	3.647756527E-1
1.031988889E0	6.164986922E-1	4.641184410E-1
1.036222222E0	6.113650432E-1	5.790887398E-1
1.040455556E0	6.272632908E-1	6.649076039E-1
1.044855556E0	6.225251688E-1	7.501583431E-1
1.049255556E0	5.994715288E-1	8.420406061E-1
1.053488889E0	5.925030308E-1	9.295169113E-1
1.057722222E0	5.925567165E-1	1.002423151E0
1.062122222E0	5.847656016E-1	1.076836189E0
1.066522222E0	5.857256674E-1	1.167891326E0
1.070755556E0	5.611398371E-1	1.240271343E0
1.074988889E0	5.713981250E-1	1.333463035E0
1.079400000E0	5.865532397E-1	1.416909654E0
1.083711111E0	5.600524962E-1	1.481075922E0
1.088022222E0	5.688914479E-1	1.561237144E0
1.092333333E0	5.640136660E-1	1.630986270E0
1.096644444E0	5.558228595E-1	1.695470189E0
1.100955556E0	5.529380965E-1	1.774223652E0
1.105266667E0	5.596543514E-1	1.830081208E0
1.109577778E0	5.488676126E-1	1.886487230E0
1.113888889E0	5.401374380E-1	1.946078453E0
1.118200000E0	5.365855651E-1	1.995688274E0
1.122511111E0	5.441369424E-1	2.053639838E0
1.126822222E0	5.373959435E-1	2.096985609E0
1.131133333E0	5.305306458E-1	2.154486057E0
1.135444444E0	5.357669832E-1	2.199810983E0
1.139755556E0	5.337102975E-1	2.244534893E0
1.144066667E0	5.353075853E-1	2.291361640E0
1.148377778E0	5.410503653E-1	2.337757585E0
1.152688889E0	5.384921931E-1	2.384902997E0
1.157000000E0	5.391842146E-1	2.421544456E0
1.161422222E0	5.350457281E-1	2.455437139E0
1.165744444E0	5.389858746E-1	2.496471848E0
1.170066667E0	5.538442673E-1	2.523616421E0
1.174388889E0	5.367750095E-1	2.553914797E0
1.178711111E0	5.360309140E-1	2.598425986E0
1.183033333E0	5.184282816E-1	2.610879087E0
1.187355556E0	5.295241340E-1	2.647642543E0
1.191677778E0	5.209008581E-1	2.664424449E0
1.196000000E0	5.308174972E-1	2.694558264E0
1.200322222E0	5.259762093E-1	2.702215969E0
1.204644444E0	5.075648035E-1	2.716222357E0
1.208966667E0	5.164604056E-1	2.742771765E0
1.213288889E0	5.159262046E-1	2.753347346E0
1.217611111E0	5.156105436E-1	2.761569175E0
1.221933333E0	5.179420702E-1	2.766478579E0
1.226255556E0	5.129917753E-1	2.765315832E0
1.230577778E0	5.125752045E-1	2.765061018E0
1.234900000E0	5.065802520E-1	2.770272451E0
1.239222222E0	5.054142485E-1	2.766725544E0
1.243544444E0	5.099912291E-1	2.763465380E0
1.247866667E0	5.075755139E-1	2.755834581E0
1.252188889E0	5.117803305E-1	2.750319870E0
1.256411111E0	5.242041246E-1	2.746621468E0
1.260633333E0	5.269801390E-1	2.740297182E0
1.265044444E0	5.146447607E-1	2.717035378E0
1.269455556E0	5.351311180E-1	2.696372371E0
1.273688889E0	5.267840271E-1	2.673914920E0
1.277922222E0	5.404623075E-1	2.651514763E0
1.286633333E0	5.432135566E-1	2.599532946E0
1.290955556E0	5.457333703E-1	2.565544195E0
1.295277778E0	5.462370701E-1	2.544490050E0
1.299600000E0	5.482383031E-1	2.499932529E0
1.303922222E0	5.531816842E-1	2.466041291E0
1.308244444E0	5.446345999E-1	2.439911628E0
1.312566667E0	5.427126298E-1	2.393254499E0
1.316888889E0	5.396112278E-1	2.347862333E0
1.321211111E0	5.427231996E-1	2.329449654E0
1.325533333E0	5.442714492E-1	2.271882232E0
1.329855556E0	5.419684532E-1	2.236468190E0
1.334177778E0	5.445560618E-1	2.188834548E0
1.338500000E0	5.381380492E-1	2.141099503E0
1.342822222E0	5.239215839E-1	2.092686883E0
1.347144444E0	5.139170751E-1	2.040407707E0
1.351466667E0	4.831516602E-1	2.000735952E0
1.355788889E0	4.857085979E-1	1.942259378E0
1.360111111E0	4.509903892E-1	1.878715853E0
1.364433333E0	4.365328209E-1	1.839542974E0
1.368755556E0	5.231356447E-1	1.826779290E0
1.373077778E0	5.003806230E-1	1.778031093E0
1.377400000E0	5.030933433E-1	1.730030132E0
1.381722222E0	5.464178378E-1	1.540067428E0
1.385944444E0	5.515205479E-1	1.468410145E0
1.390166667E0	5.618853707E-1	1.423502654E0
1.394577778E0	5.231656097E-1	1.346292553E0
1.398988889E0	5.516224559E-1	1.269806308E0
1.403222222E0	5.314633681E-1	1.222378326E0
1.407455556E0	5.529032452E-1	1.139536149E0
1.411855556E0	5.742196299E-1	1.068084789E0
1.416255556E0	5.507381319E-1	9.883509485E-1
1.420488889E0	5.467943033E-1	9.326445905E-1
1.424722222E0	5.509271609E-1	8.860418517E-1
1.429122222E0	7.562976255E-1	8.696991111E-1
1.433522222E0	5.412142453E-1	7.298525460E-1
1.437755556E0	5.829079128E-1	6.616425579E-1
1.441988889E0	5.857032986E-1	6.106373795E-1
1.446400000E0	5.652670013E-1	5.635571479E-1
1.450711111E0	5.357948048E-1	5.055080515E-1
1.455022222E0	5.050652899E-1	3.964794086E-1
1.459333333E0	5.097590008E-1	3.283907770E-1
1.463644444E0	7.209381876E-1	3.085457371E-1
1.467955556E0	4.618019522E-1	2.557944489E-1
1.472266667E0	6.683618678E-1	2.497050692E-1
1.476577778E0	6.346874481E-1	2.110298352E-1
1.480888889E0	5.583898458E-1	1.621523609E-1
1.485200000E0	6.318595290E-1	-2.787722191E-1
1.489511111E0	7.461135123E-1	-4.215896982E-1
1.493822222E0	8.603674957E-1	-6.215341690E-1
1.498133333E0	9.746214790E-1	-6.500976649E-1
1.502444444E0	7.175500165E-1	-6.786611607E-1
1.506755556E0	7.018375104E-1	-5.383100860E-1
1.511066667E0	7.899233526E-1	-5.653429726E-1
1.515377778E0	7.559565048E-1	-6.167673571E-1
1.519688889E0	7.910040053E-1	-6.634505080E-1
1.524000000E0	8.021169415E-1	-7.098987120E-1
1.532744444E0	8.046038154E-1	-8.040843283E-1
1.537055556E0	8.073683033E-1	-8.693972021E-1
1.541366667E0	8.312372845E-1	-9.155388663E-1
1.545677778E0	8.248057480E-1	-9.583471151E-1
1.549988889E0	8.305372092E-1	-1.010022312E0
1.554300000E0	8.189923409E-1	-1.055855746E0
1.558611111E0	8.188644381E-1	-1.105028284E0
1.562922222E0	8.269015500E-1	-1.127808572E0
1.571588889E0	8.364946240E-1	-1.214728449E0
1.575911111E0	8.386278819E-1	-1.247618260E0
1.580233333E0	8.200239220E-1	-1.296474370E0
1.584555556E0	8.451840219E-1	-1.319518957E0
1.588877778E0	8.447876650E-1	-1.330053071E0
1.593200000E0	8.213899028E-1	-1.366732449E0
1.597522222E0	8.360463428E-1	-1.386439767E0
1.601844444E0	7.996447759E-1	-1.411035442E0
1.610444444E0	8.327765377E-1	-1.438120845E0
1.614766667E0	7.908928979E-1	-1.461314058E0
1.619088889E0	8.158426842E-1	-1.475423270E0
1.623411111E0	8.333592295E-1	-1.486319337E0
1.627733333E0	7.785269364E-1	-1.499502553E0
1.632055556E0	7.732480485E-1	-1.502985274E0
1.636377778E0	7.891155550E-1	-1.509186927E0
1.640700000E0	7.874185511E-1	-1.514096465E0
1.645022222E0	7.888896177E-1	-1.514623162E0
1.649344444E0	7.914000983E-1	-1.515454103E0
1.653666667E0	7.913417941E-1	-1.515234476E0
1.657988889E0	7.908368759E-1	-1.515331713E0
1.662311111E0	8.032504963E-1	-1.508649113E0
1.666633333E0	8.267128860E-1	-1.486176438E0
1.670955556E0	8.022045836E-1	-1.449526722E0
1.675277778E0	7.970314972E-1	-1.427438487E0
1.679600000E0	8.211144565E-1	-1.417913247E0
1.683922222E0	8.201480448E-1	-1.406081931E0
1.688244444E0	8.111833465E-1	-1.370026772E0
1.692566667E0	8.143281889E-1	-1.336447899E0
1.696888889E0	8.282664183E-1	-1.317256907E0
1.701211111E0	8.196662284E-1	-1.280717989E0
1.705533333E0	8.084061923E-1	-1.260420200E0
1.709855556E0	8.102397767E-1	-1.221295872E0
1.714177778E0	8.145875894E-1	-1.183146438E0
1.718400000E0	8.171958907E-1	-1.152338724E0
1.722622222E0	8.265938168E-1	-1.117324612E0
1.727044444E0	8.217435348E-1	-1.071353442E0
1.731355556E0	8.311748518E-1	-1.031813424E0
1.735666667E0	8.425054827E-1	-1.007851940E0
1.739977778E0	8.417786029E-1	-9.587699977E-1
1.744288889E0	8.402576523E-1	-9.175300621E-1
1.748600000E0	8.622455190E-1	-8.923868332E-1
1.752911111E0	8.642496833E-1	-8.512008107E-1
1.757222222E0	8.659522998E-1	-8.187507706E-1
1.761533333E0	8.498441843E-1	-7.704073961E-1
1.765844444E0	8.311843952E-1	-7.364619579E-1
1.770155556E0	7.761882356E-1	-6.973559866E-1
1.774466667E0	8.318039998E-1	-7.357881524E-1
1.778777778E0	1.139521647E0	-1.129020556E0
1.783088889E0	8.032405040E-1	-6.786611607E-1
1.787400000E0	1.132374298E0	-1.026031776E0
1.791711111E0	8.032405040E-1	-4.501531940E-1
1.796022222E0	1.142351412E0	-9.175459764E-1
1.800333333E0	1.120849059E0	-8.696541524E-1
1.804644444E0	1.125487806E0	-8.146688111E-1
1.809066667E0	1.134804023E0	-7.673730339E-1
1.813388889E0	1.114657563E0	-7.130639657E-1
1.817711111E0	1.095561360E0	-6.738537916E-1
1.822033333E0	8.032405040E-1	-2.502087232E-1
1.826355556E0	6.354516551E-1	1.838621101E-1
1.830677778E0	6.412882074E-1	2.036466763E-1
1.835000000E0	6.987630230E-1	2.191359473E-1
1.839322222E0	6.808838951E-1	2.692660688E-1
1.843644444E0	6.200559548E-1	3.420286896E-1
1.847966667E0	6.276260990E-1	4.020795843E-1
1.852288889E0	6.339794374E-1	4.647811014E-1
1.856611111E0	6.177130259E-1	5.055991179E-1
1.860933333E0	6.001345401E-1	5.608427993E-1
1.865255556E0	6.187476322E-1	5.934561484E-1
1.869577778E0	6.273919579E-1	6.359305577E-1
1.873900000E0	6.566659793E-1	6.830407098E-1
1.878222222E0	6.221410936E-1	7.455271725E-1
1.882544444E0	6.287172582E-1	7.970190486E-1
1.895433333E0	6.324236380E-1	9.108964215E-1
1.899755556E0	6.267588170E-1	9.515641867E-1
1.904077778E0	6.684067638E-1	9.834021617E-1
1.908400000E0	6.643834146E-1	1.024629880E0
1.912722222E0	6.509344641E-1	1.065025710E0
1.917044444E0	6.292445807E-1	1.111659596E0
1.921366667E0	6.431678542E-1	1.133017055E0
1.925688889E0	6.173763920E-1	1.172357144E0
1.930011111E0	6.307102980E-1	1.213327159E0
1.934333333E0	6.730416853E-1	1.229422208E0
1.938655556E0	6.507731729E-1	1.274242184E0
1.942977778E0	6.040853654E-1	1.310032106E0
1.947300000E0	6.398147074E-1	1.327838410E0
1.951622222E0	6.101437389E-1	1.360032042E0
1.955944444E0	6.412145666E-1	1.384201197E0
1.960266667E0	6.171719695E-1	1.416371261E0
1.968833333E0	6.287190068E-1	1.466203782E0
1.973155556E0	6.271957639E-1	1.479526535E0
1.977477778E0	6.269288352E-1	1.504452821E0
1.981800000E0	6.360326544E-1	1.521434687E0
1.986122222E0	6.387340085E-1	1.536210469E0
1.990444444E0	6.416839494E-1	1.559887725E0
1.994766667E0	6.468479127E-1	1.578523314E0
1.999088889E0	6.441888827E-1	1.589279973E0
2.007700000E0	6.573486722E-1	1.620528600E0
2.012011111E0	6.554479132E-1	1.625534070E0
2.016322222E0	6.623711638E-1	1.634319407E0
2.020633333E0	6.558612484E-1	1.637451468E0
2.024944444E0	6.517173270E-1	1.641434775E0
2.029255556E0	6.610091449E-1	1.642398820E0
2.033566667E0	6.593396904E-1	1.642891139E0
2.037877778E0	6.564871649E-1	1.645354112E0
2.042188889E0	6.583944253E-1	1.644411203E0
2.046500000E0	6.526890344E-1	1.643849236E0
2.050811111E0	6.525550997E-1	1.638275119E0
2.055122222E0	6.609553723E-1	1.635503288E0
2.059433333E0	6.764988158E-1	1.634401042E0
2.063744444E0	6.872053624E-1	1.632857238E0
2.068055556E0	6.907725519E-1	1.633703304E0
2.072366667E0	6.921320721E-1	1.628208064E0
2.076677778E0	6.860343529E-1	1.623480996E0
2.081100000E0	7.017540193E-1	1.618623234E0
2.085411111E0	7.040660436E-1	1.610508272E0
2.089722222E0	6.634314576E-1	1.585009121E0
2.094033333E0	7.103788612E-1	1.576376470E0
2.098344444E0	7.122246110E-1	1.561181727E0
2.102655556E0	6.666665376E-1	1.528478883E0
2.106966667E0	6.985558078E-1	1.525486029E0
2.111277778E0	6.536882135E-1	1.482267065E0
2.115588889E0	7.030934824E-1	1.465115766E0
2.119900000E0	6.972603696E-1	1.432442788E0
2.124211111E0	6.889745551E-1	1.419981715E0
2.128522222E0	6.564254576E-1	1.382158348E0
2.132833333E0	6.947112886E-1	1.358074089E0
2.137144444E0	6.992402411E-1	1.329735916E0
2.141455556E0	7.035401284E-1	1.316475717E0
2.145766667E0	7.292851383E-1	1.280118509E0
2.150077778E0	7.063559932E-1	1.253754108E0
2.154388889E0	7.159366419E-1	1.221354399E0
2.158811111E0	7.046026677E-1	1.187083161E0
2.163122222E0	7.361287407E-1	1.167858952E0
2.167433333E0	7.796041965E-1	1.123101524E0
2.171744444E0	7.389406228E-1	1.108624510E0
2.176055556E0	7.434129965E-1	1.065910214E0
2.180366667E0	7.779735023E-1	1.022681970E0
2.184677778E0	7.528424684E-1	1.005687964E0
2.188988889E0	7.707308201E-1	9.644872519E-1
2.193300000E0	7.801133608E-1	9.250618967E-1
2.197611111E0	7.500789062E-1	9.076590630E-1
2.201922222E0	7.553547443E-1	8.626394533E-1
2.206233333E0	7.508312333E-1	8.491336925E-1
2.210544444E0	7.572372107E-1	8.196435491E-1
2.223577778E0	7.185256595E-1	6.532056483E-1
2.227888889E0	6.961845385E-1	6.169568081E-1
2.232200000E0	7.024336205E-1	6.067587333E-1
2.236511111E0	6.629482952E-1	5.559221370E-1
2.240822222E0	6.968588432E-1	5.273115959E-1
2.245133333E0	7.203935841E-1	5.090037412E-1
2.249444444E0	7.236245791E-1	4.660924523E-1
2.253755556E0	6.725541966E-1	4.290286882E-1
2.258066667E0	7.542422283E-1	4.165682617E-1
2.262377778E0	5.638666417E-1	3.167186662E-1
2.266688889E0	7.793112736E-1	3.157205539E-1
2.271000000E0	8.212042546E-1	3.073297158E-1
2.275311111E0	8.305271493E-1	2.925750516E-1
2.279622222E0	8.220123015E-1	2.638820472E-1
2.283933333E0	7.965491158E-1	2.549335416E-1
2.288244444E0	7.745555959E-1	2.501965620E-1
2.301277778E0	6.813720400E-1	1.952546350E-1
2.305600000E0	6.188654407E-1	1.721992746E-1
2.309922222E0	8.889309915E-1	-3.073357149E-1
2.314244444E0	7.461135123E-1	-3.930262024E-1
2.318566667E0	8.032405040E-1	-2.502087232E-1
2.322888889E0	8.603674957E-1	-3.358992107E-1
2.327211111E0	8.318039998E-1	-3.073357149E-1
2.331533333E0	9.460579832E-1	-2.502087232E-1
2.335855556E0	7.746770082E-1	-4.215896982E-1
2.340177778E0	8.032405040E-1	-4.501531940E-1
2.344500000E0	8.318039998E-1	-3.644627066E-1
2.348822222E0	8.032405040E-1	-5.072801857E-1
2.353144444E0	8.318039998E-1	-7.072246565E-1
2.357466667E0	8.032405040E-1	-6.500976649E-1
2.361788889E0	8.318039998E-1	-6.215341690E-1
2.366111111E0	7.777263180E-1	-6.376568123E-1
2.370433333E0	7.983874491E-1	-6.629529393E-1
2.374755556E0	7.825589944E-1	-6.677100763E-1
2.379077778E0	7.925857121E-1	-6.761367641E-1
2.383400000E0	7.691379858E-1	-6.851090709E-1
