mass_A
t	x	y
1.994722222E0	-6.512096767E-1	1.645359231E0
1.999033333E0	-6.577635055E-1	1.668077029E0
2.003344444E0	-6.659317814E-1	1.674796277E0
2.007655556E0	-6.875965287E-1	1.695390775E0
2.016333333E0	-6.803611523E-1	1.714366551E0
2.020655556E0	-6.856374753E-1	1.720052923E0
2.024977778E0	-6.977982968E-1	1.718945103E0
2.029300000E0	-7.057978500E-1	1.714336861E0
2.033622222E0	-7.274707550E-1	1.714255581E0
2.037944444E0	-7.364214693E-1	1.711625644E0
2.042266667E0	-8.466734976E-1	1.673998830E0
2.046588889E0	-8.461160534E-1	1.671306961E0
2.050911111E0	-8.541638432E-1	1.669140906E0
2.055233333E0	-5.196272979E-1	1.629833451E0
2.059555556E0	-5.307369284E-1	1.634779491E0
2.063877778E0	-5.638827307E-1	1.622035237E0
2.068200000E0	-5.942778317E-1	1.623092813E0
2.072522222E0	-6.441144133E-1	1.634258326E0
2.076844444E0	-7.149467376E-1	1.632202183E0
2.081166667E0	-7.059248267E-1	1.618581316E0
2.085488889E0	-7.192387451E-1	1.582496426E0
2.089811111E0	-1.342406992E0	1.009399998E0
2.094133333E0	-7.151977689E-1	1.506093433E0
2.098455556E0	-7.056479356E-1	1.482892198E0
2.102777778E0	-1.351811952E0	9.194982718E-1
2.107100000E0	-7.184610464E-1	1.342533344E0
2.111322222E0	-7.238280380E-1	1.338113636E0
2.115544444E0	-7.354344465E-1	1.299513197E0
2.119955556E0	-7.643285542E-1	1.258295540E0
2.124366667E0	-7.528167153E-1	1.248238216E0
2.128600000E0	-7.533695933E-1	1.217816783E0
2.132833333E0	-7.601595043E-1	1.182038890E0
2.137233333E0	-7.720665982E-1	1.157661443E0
2.141633333E0	-7.724461914E-1	1.117973247E0
2.145866667E0	-7.594265486E-1	1.070151797E0
2.150100000E0	-7.954311478E-1	1.025305640E0
2.158822222E0	-7.333583044E-1	9.387175219E-1
2.163133333E0	-7.591338396E-1	9.003049868E-1
2.167444444E0	-9.252734402E-1	8.525940491E-1
2.171755556E0	-8.954534548E-1	8.078953560E-1
2.176066667E0	-8.302498940E-1	7.638330178E-1
2.180377778E0	-8.043551396E-1	7.197006331E-1
2.184688889E0	-8.241732355E-1	6.726481953E-1
2.189000000E0	-9.094636671E-1	6.359017518E-1
2.193311111E0	-7.714015743E-1	5.787466539E-1
2.197622222E0	-8.209872151E-1	5.010084791E-1
2.201933333E0	-6.138279781E-1	4.589773993E-1
2.206244444E0	-9.250498692E-1	4.597798175E-1
2.210555556E0	-6.982903953E-1	3.716799022E-1
2.214866667E0	-5.733589224E-1	2.757770863E-1
2.219177778E0	-5.872352372E-1	2.171525170E-1
2.223488889E0	-5.566152725E-1	1.815471831E-1
2.227800000E0	-5.552229763E-1	1.013389265E-1
2.232111111E0	-5.621684471E-1	9.879708626E-2
2.236533333E0	-8.237590132E-1	9.061192643E-2
2.240844444E0	-8.760621876E-1	8.556864083E-2
2.245155556E0	-8.166776047E-1	6.075318092E-2
2.249466667E0	-1.329663229E0	-7.012715813E-1
2.253777778E0	-1.276133363E0	-7.561383136E-1
2.258088889E0	-1.300400467E0	-7.985339829E-1
2.266755556E0	-1.262170430E0	-9.081748633E-1
2.271066667E0	-1.285188055E0	-9.743510888E-1
2.275377778E0	-1.326600760E0	-1.021835660E0
2.279688889E0	-1.314443857E0	-1.065670245E0
2.284000000E0	-1.307390141E0	-1.124013674E0
2.288311111E0	-1.267976336E0	-1.156973084E0
2.292622222E0	-1.258333478E0	-1.214289127E0
2.296933333E0	-9.218604637E-1	-6.157779223E-1
2.305611111E0	-9.144671543E-1	-6.950516328E-1
2.309933333E0	-8.988988567E-1	-7.063174786E-1
2.314255556E0	-9.344781416E-1	-7.534912782E-1
2.318577778E0	-9.653551457E-1	-7.901861378E-1
2.322900000E0	-9.893611530E-1	-8.107463954E-1
2.327222222E0	-8.217069225E-1	-8.677378709E-1
2.331544444E0	-9.772836530E-1	-8.815066941E-1
2.335866667E0	-9.596850749E-1	-9.320332983E-1
2.344477778E0	-8.823963828E-1	-1.003083985E0
2.348788889E0	-8.136596986E-1	-1.051480138E0
2.353100000E0	-9.948241406E-1	-1.054728537E0
2.357411111E0	-8.399737305E-1	-1.099132189E0
2.361722222E0	-8.011495147E-1	-1.139264146E0
2.366033333E0	-8.423819175E-1	-1.144961642E0
2.370344444E0	-9.384704629E-1	-1.152060833E0
2.374655556E0	-7.678836652E-1	-1.183733767E0
2.378966667E0	-7.848517307E-1	-1.215167737E0
2.383277778E0	-7.874180867E-1	-1.231843747E0
2.387588889E0	-8.278211923E-1	-1.233704040E0
2.391900000E0	-8.319425308E-1	-1.239516790E0
2.396211111E0	-9.881033782E-1	-1.245289744E0
2.400522222E0	-1.037701285E0	-1.248196604E0
2.404833333E0	-8.444586232E-1	-1.277977646E0
2.409144444E0	-8.214266347E-1	-1.285385737E0
2.422177778E0	-9.815620520E-1	-1.286384348E0
2.426500000E0	-8.568988617E-1	-1.287551680E0
2.430822222E0	-9.522689414E-1	-1.282435038E0
2.435144444E0	-9.587794015E-1	-1.270320162E0
2.439466667E0	-1.000172586E0	-1.246177057E0
2.443788889E0	-9.442735043E-1	-1.239164881E0
2.448111111E0	-9.627227177E-1	-1.235831694E0
2.452433333E0	-9.457923783E-1	-1.232638360E0
2.461044444E0	-8.641478269E-1	-1.187548778E0
2.465355556E0	-9.383884812E-1	-1.154196582E0
2.469666667E0	-9.453000835E-1	-1.145114569E0
2.473977778E0	-8.705654128E-1	-1.135238687E0
2.478288889E0	-9.253553726E-1	-1.098023643E0
2.482600000E0	-1.008834873E0	-1.064141333E0
2.486911111E0	-9.475870271E-1	-1.056385105E0
2.491222222E0	-8.963901655E-1	-1.045278128E0
2.495533333E0	-8.818340045E-1	-1.006836071E0
2.499844444E0	-9.969272508E-1	-9.721840872E-1
2.504155556E0	-9.370915282E-1	-9.646053587E-1
