mass_A
t	x	y
1.506577778E0	4.353032412E-1	2.165407920E0
1.510888889E0	5.083489933E-1	1.948796012E0
1.515200000E0	5.048442875E-1	1.891483209E0
1.519511111E0	4.164726511E-1	1.985985784E0
1.523822222E0	5.107904057E-1	1.771575788E0
1.528133333E0	5.082706222E-1	1.714038879E0
1.532444444E0	5.307549823E-1	1.640193448E0
1.536755556E0	4.140947538E-1	1.703091470E0
1.541066667E0	5.533717650E-1	1.510979210E0
1.545377778E0	5.314775532E-1	1.441198163E0
1.549688889E0	4.124121825E-1	1.492724194E0
1.554000000E0	4.507151012E-1	1.446214626E0
1.558311111E0	5.192978755E-1	1.406309574E0
1.562622222E0	4.650771058E-1	1.310623671E0
1.566933333E0	5.084730560E-1	1.262505522E0
1.571244444E0	4.888540864E-1	1.185107690E0
1.575555556E0	4.723290796E-1	1.086716768E0
1.579866667E0	4.646673167E-1	9.989796170E-1
1.584288889E0	4.649953515E-1	9.127388910E-1
1.588600000E0	4.542886335E-1	8.290600479E-1
1.592911111E0	4.514749587E-1	7.373416312E-1
1.597222222E0	4.559842991E-1	6.355278814E-1
1.601533333E0	4.472034405E-1	5.418214327E-1
1.605844444E0	4.468991603E-1	4.620411421E-1
1.610155556E0	4.702945018E-1	4.058688242E-1
1.614466667E0	5.107295184E-1	3.582039178E-1
1.618777778E0	5.371375742E-1	2.984773795E-1
1.623088889E0	4.395304923E-1	1.139480880E-1
1.627400000E0	6.394056461E-1	-2.525076147E-1
1.631711111E0	6.517226274E-1	-3.715215392E-1
1.636022222E0	6.325523995E-1	-4.674146752E-1
1.640333333E0	5.929307880E-1	-5.288709334E-1
1.644644444E0	5.502680774E-1	-5.760941501E-1
1.648955556E0	5.284953190E-1	-6.201246665E-1
1.653266667E0	4.579316113E-1	-5.502427914E-1
1.657577778E0	4.551119997E-1	-6.149363077E-1
1.661888889E0	4.950332365E-1	-6.688494034E-1
1.666200000E0	5.050885875E-1	-7.554590943E-1
1.670622222E0	4.920030822E-1	-8.289134773E-1
1.674933333E0	5.138059936E-1	-9.110336901E-1
1.679244444E0	5.056955185E-1	-9.831150560E-1
1.683555556E0	4.917282244E-1	-1.060248246E0
1.687866667E0	5.030045789E-1	-1.125106085E0
1.692177778E0	4.801799508E-1	-1.184250673E0
1.696488889E0	4.933487207E-1	-1.245085315E0
1.700800000E0	4.642066228E-1	-1.330916474E0
1.705111111E0	5.080467391E-1	-1.350181918E0
1.709422222E0	4.706679290E-1	-1.427861804E0
1.713733333E0	4.842700291E-1	-1.456713568E0
1.718044444E0	4.854625111E-1	-1.508432411E0
1.722355556E0	4.913484380E-1	-1.554551403E0
1.726666667E0	4.870429920E-1	-1.598517917E0
1.730977778E0	4.883656111E-1	-1.636889735E0
1.735288889E0	4.688715586E-1	-1.695636252E0
1.739600000E0	4.971976641E-1	-1.699839430E0
1.743911111E0	4.856209497E-1	-1.734068934E0
1.748333333E0	5.038145667E-1	-1.756140257E0
1.752644444E0	4.935800898E-1	-1.780343890E0
1.756955556E0	5.053039179E-1	-1.801912323E0
1.761266667E0	4.896249991E-1	-1.822673264E0
1.765577778E0	4.969827280E-1	-1.838772272E0
1.769888889E0	4.735743179E-1	-1.857343490E0
1.774200000E0	4.920117729E-1	-1.866874125E0
1.778511111E0	5.081552431E-1	-1.880847676E0
1.782822222E0	5.184469996E-1	-1.878726027E0
1.787133333E0	5.297975261E-1	-1.889085519E0
1.791444444E0	5.173178800E-1	-1.919015253E0
1.795755556E0	5.232562257E-1	-1.909994085E0
1.800066667E0	5.312350207E-1	-1.913754721E0
1.804377778E0	5.345845477E-1	-1.916342101E0
1.808688889E0	5.357539995E-1	-1.917005307E0
1.813000000E0	5.371079532E-1	-1.915994126E0
1.817311111E0	5.372257690E-1	-1.910145725E0
1.821622222E0	5.366812444E-1	-1.902336232E0
1.825933333E0	5.512499965E-1	-1.887002329E0
1.830244444E0	5.470475787E-1	-1.876136151E0
1.834666667E0	5.374279333E-1	-1.862869939E0
1.838977778E0	5.456247629E-1	-1.838788801E0
1.843288889E0	5.505225911E-1	-1.808526150E0
1.847600000E0	5.491952713E-1	-1.789466409E0
1.851911111E0	5.533517789E-1	-1.756148287E0
1.856222222E0	5.558779797E-1	-1.719479777E0
1.860533333E0	5.475544974E-1	-1.694608733E0
1.864844444E0	5.544805824E-1	-1.653242621E0
1.869155556E0	5.508328767E-1	-1.603570765E0
1.873466667E0	5.480712419E-1	-1.550646307E0
1.877777778E0	5.597951198E-1	-1.495206932E0
1.882088889E0	5.512055740E-1	-1.433896629E0
1.886400000E0	5.520643093E-1	-1.378494459E0
1.890711111E0	5.670458558E-1	-1.302732784E0
